epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59884,0.92452,3.024,1.21938,0.00332,1,0.47389,0.38097,0.65905,2.85676,1.02443,0.00030009,0.00030009,0.00030009
2,4.52144,0.77264,1.93101,1.04838,0.93596,0.24538,0.77214,0.60773,0.69428,2.26333,1.02956,0.000608387,0.000608387,0.000608387
3,6.40659,0.71954,1.32144,1.00211,0.94763,0.51225,0.83562,0.6808,0.7239,2.07688,1.07732,0.000910459,0.000910459,0.000910459
4,8.33815,0.70657,1.24557,0.98656,0.83865,0.96326,0.94826,0.78149,0.69847,1.09331,1.01373,0.00120631,0.00120631,0.00120631
5,10.1831,0.68884,1.12253,0.96234,0.84116,0.88538,0.93321,0.76992,0.72625,1.35673,1.03667,0.00137241,0.00137241,0.00137241
6,12.0245,0.64489,0.9822,0.94995,0.78391,0.91639,0.92177,0.774,0.66423,1.16851,0.9764,0.00135826,0.00135826,0.00135826
7,13.836,0.62432,0.91906,0.93754,0.98675,1,0.995,0.85447,0.69984,0.70843,1.00411,0.00134412,0.00134412,0.00134412
8,15.6682,0.62536,0.87434,0.9369,0.99382,1,0.995,0.8641,0.6281,0.67335,0.95644,0.00132997,0.00132997,0.00132997
9,17.5492,0.58968,0.8134,0.91984,0.97027,0.95411,0.995,0.83989,0.66947,0.92502,1.00868,0.00131582,0.00131582,0.00131582
10,19.3734,0.62607,0.81641,0.93342,0.98575,1,0.995,0.87551,0.58801,0.62217,0.96774,0.00130168,0.00130168,0.00130168
11,21.1919,0.57324,0.73736,0.93305,0.99083,1,0.995,0.88309,0.56244,0.62525,0.93126,0.00128753,0.00128753,0.00128753
12,23.0264,0.58794,0.70445,0.92509,0.99158,1,0.995,0.86876,0.62589,0.53479,0.97405,0.00127338,0.00127338,0.00127338
13,24.8376,0.58753,0.66552,0.93457,0.813,0.97184,0.95279,0.76716,0.66403,0.88564,0.98803,0.00125923,0.00125923,0.00125923
14,26.6687,0.56316,0.62099,0.91699,0.93683,1,0.995,0.87118,0.61439,0.5715,0.95466,0.00124509,0.00124509,0.00124509
15,28.5418,0.56488,0.62217,0.9241,0.99496,1,0.995,0.88679,0.54819,0.47171,0.92296,0.00123094,0.00123094,0.00123094
16,30.3898,0.56431,0.58619,0.91439,0.96777,0.99071,0.995,0.8611,0.59256,0.47483,0.93453,0.00121679,0.00121679,0.00121679
17,32.1984,0.55275,0.57241,0.91695,0.99339,0.99841,0.995,0.86524,0.60837,0.42091,0.92937,0.00120265,0.00120265,0.00120265
18,34.0216,0.56261,0.574,0.92432,0.9949,1,0.995,0.87053,0.61145,0.40596,0.95287,0.0011885,0.0011885,0.0011885
19,35.8267,0.54541,0.5325,0.91614,0.90794,0.96619,0.98782,0.88205,0.55926,0.4676,0.92723,0.00117435,0.00117435,0.00117435
20,37.7168,0.56528,0.53687,0.91966,0.99562,1,0.995,0.87168,0.57848,0.34588,0.943,0.00116021,0.00116021,0.00116021
21,39.529,0.53809,0.49449,0.90912,0.99656,1,0.995,0.88122,0.55052,0.31503,0.93187,0.00114606,0.00114606,0.00114606
22,41.3615,0.54948,0.51248,0.91091,0.99338,1,0.995,0.88022,0.55483,0.3503,0.9227,0.00113191,0.00113191,0.00113191
23,43.1774,0.52507,0.48499,0.91206,0.99554,1,0.995,0.8742,0.56816,0.34998,0.92659,0.00111776,0.00111776,0.00111776
